:ID,:LABEL,level,name
440900,city,2,茂名市
441600,city,2,河源市
440200,city,2,韶关市
441200,city,2,肇庆市
445100,city,2,潮州市
440300,city,2,深圳市
440600,city,2,佛山市
652300,city,2,昌吉回族自治州
654000,city,2,伊犁哈萨克自治州
652700,city,2,博尔塔拉蒙古自治州
650500,city,2,哈密市
654300,city,2,阿勒泰地区
652800,city,2,巴音郭楞蒙古自治州
650400,city,2,吐鲁番市
650100,city,2,乌鲁木齐市
652900,city,2,阿克苏地区
650200,city,2,克拉玛依市
653000,city,2,克孜勒苏柯尔克孜自治州
653100,city,2,喀什地区
654200,city,2,塔城地区
653200,city,2,和田地区
350400,city,2,三明市
350900,city,2,宁德市
350800,city,2,龙岩市
350300,city,2,莆田市
350600,city,2,漳州市
350200,city,2,厦门市
350100,city,2,福州市
350700,city,2,南平市
350500,city,2,泉州市
410700,city,2,新乡市
410500,city,2,安阳市
411300,city,2,南阳市
411100,city,2,漯河市
410400,city,2,平顶山市
411400,city,2,商丘市
410200,city,2,开封市
410100,city,2,郑州市
410900,city,2,濮阳市
411200,city,2,三门峡市
411600,city,2,周口市
410800,city,2,焦作市
411500,city,2,信阳市
411000,city,2,许昌市
410600,city,2,鹤壁市
410300,city,2,洛阳市
411700,city,2,驻马店市
460300,city,2,三沙市
460400,city,2,儋州市
460100,city,2,海口市
460200,city,2,三亚市
150800,city,2,巴彦淖尔市
152500,city,2,锡林郭勒盟
150600,city,2,鄂尔多斯市
150500,city,2,通辽市
150400,city,2,赤峰市
150300,city,2,乌海市
150100,city,2,呼和浩特市
152200,city,2,兴安盟
150200,city,2,包头市
152900,city,2,阿拉善盟
150700,city,2,呼伦贝尔市
150900,city,2,乌兰察布市
110101,city,2,东城区
110118,city,2,密云区
110111,city,2,房山区
110108,city,2,海淀区
110106,city,2,丰台区
110105,city,2,朝阳区
110109,city,2,门头沟区
110119,city,2,延庆区
110116,city,2,怀柔区
110112,city,2,通州区
110117,city,2,平谷区
110113,city,2,顺义区
110107,city,2,石景山区
110102,city,2,西城区
110115,city,2,大兴区
110114,city,2,昌平区
130700,city,2,张家口市
130400,city,2,邯郸市
130500,city,2,邢台市
130100,city,2,石家庄市
131000,city,2,廊坊市
130800,city,2,承德市
130200,city,2,唐山市
130900,city,2,沧州市
130600,city,2,保定市
131100,city,2,衡水市
130300,city,2,秦皇岛市
370402,county,3,市中区
370403,county,3,薛城区
370404,county,3,峄城区
370405,county,3,台儿庄区
370406,county,3,山亭区
370481,county,3,滕州市
370502,county,3,东营区
370503,county,3,河口区
370505,county,3,垦利区
370522,county,3,利津县
370523,county,3,广饶县
370102,county,3,历下区
370103,county,3,市中区
370104,county,3,槐荫区
370105,county,3,天桥区
370112,county,3,历城区
370113,county,3,长清区
370114,county,3,章丘区
370124,county,3,平阴县
370125,county,3,济阳县
370126,county,3,商河县
370811,county,3,任城区
370812,county,3,兖州区
370826,county,3,微山县
370827,county,3,鱼台县
370828,county,3,金乡县
370829,county,3,嘉祥县
370830,county,3,汶上县
370831,county,3,泗水县
370832,county,3,梁山县
370881,county,3,曲阜市
370883,county,3,邹城市
371702,county,3,牡丹区
371703,county,3,定陶区
371721,county,3,曹县
371722,county,3,单县
371723,county,3,成武县
371724,county,3,巨野县
371725,county,3,郓城县
371726,county,3,鄄城县
371728,county,3,东明县
371302,county,3,兰山区
371311,county,3,罗庄区
371312,county,3,河东区
371321,county,3,沂南县
371322,county,3,郯城县
371323,county,3,沂水县
371324,county,3,兰陵县
371325,county,3,费县
371326,county,3,平邑县
371327,county,3,莒南县
371328,county,3,蒙阴县
371329,county,3,临沭县
370602,county,3,芝罘区
370611,county,3,福山区
370612,county,3,牟平区
370613,county,3,莱山区
370634,county,3,长岛县
370681,county,3,龙口市
370682,county,3,莱阳市
370683,county,3,莱州市
370684,county,3,蓬莱市
370685,county,3,招远市
370686,county,3,栖霞市
370687,county,3,海阳市
371202,county,3,莱城区
371203,county,3,钢城区
