o:END_ID,p:TYPE,s:START_ID
341700,located_in,341722
341700,located_in,341723
340100,located_in,340102
340100,located_in,340103
340100,located_in,340104
340100,located_in,340111
340100,located_in,340121
340100,located_in,340122
340100,located_in,340123
340100,located_in,340124
340100,located_in,340181
230000,located_in,230500
230000,located_in,230900
230000,located_in,230600
230000,located_in,230200
230000,located_in,232700
230000,located_in,230300
230000,located_in,231200
230000,located_in,231100
230000,located_in,230800
230000,located_in,230700
230000,located_in,230100
230000,located_in,230400
230000,located_in,231000
230500,located_in,230502
230500,located_in,230503
230500,located_in,230505
230500,located_in,230506
230500,located_in,230521
230500,located_in,230522
230500,located_in,230523
230500,located_in,230524
230900,located_in,230902
230900,located_in,230903
230900,located_in,230904
230900,located_in,230921
230600,located_in,230602
230600,located_in,230603
230600,located_in,230604
230600,located_in,230605
230600,located_in,230606
230600,located_in,230621
230600,located_in,230622
230600,located_in,230623
230600,located_in,230624
230200,located_in,230202
230200,located_in,230203
230200,located_in,230204
230200,located_in,230205
230200,located_in,230206
230200,located_in,230207
230200,located_in,230208
230200,located_in,230221
230200,located_in,230223
230200,located_in,230224
230200,located_in,230225
230200,located_in,230227
230200,located_in,230229
230200,located_in,230230
230200,located_in,230231
230200,located_in,230281
232700,located_in,232721
232700,located_in,232722
232700,located_in,232723
230300,located_in,230302
230300,located_in,230303
230300,located_in,230304
230300,located_in,230305
230300,located_in,230306
230300,located_in,230307
230300,located_in,230321
230300,located_in,230381
230300,located_in,230382
231200,located_in,231202
231200,located_in,231221
231200,located_in,231222
231200,located_in,231223
231200,located_in,231224
231200,located_in,231225
231200,located_in,231226
231200,located_in,231281
231200,located_in,231282
231200,located_in,231283
231100,located_in,231102
231100,located_in,231121
231100,located_in,231123
231100,located_in,231124
231100,located_in,231181
231100,located_in,231182
230800,located_in,230803
230800,located_in,230804
230800,located_in,230805
230800,located_in,230811
230800,located_in,230822
230800,located_in,230826
230800,located_in,230828
230800,located_in,230881
230800,located_in,230882
230800,located_in,230883
230700,located_in,230702
230700,located_in,230703
230700,located_in,230704
230700,located_in,230705
230700,located_in,230706
230700,located_in,230707
230700,located_in,230708
230700,located_in,230709
230700,located_in,230710
230700,located_in,230711
230700,located_in,230712
230700,located_in,230713
230700,located_in,230714
230700,located_in,230715
230700,located_in,230716
230700,located_in,230722
230700,located_in,230781
230100,located_in,230102
230100,located_in,230103
230100,located_in,230104
230100,located_in,230108
230100,located_in,230109
230100,located_in,230110
230100,located_in,230111
230100,located_in,230112
230100,located_in,230113
230100,located_in,230123
230100,located_in,230124
230100,located_in,230125
230100,located_in,230126
230100,located_in,230127
230100,located_in,230128
230100,located_in,230129
230100,located_in,230183
230100,located_in,230184
230400,located_in,230402
230400,located_in,230403
230400,located_in,230404
230400,located_in,230405
230400,located_in,230406
230400,located_in,230407
230400,located_in,230421
230400,located_in,230422
231000,located_in,231002
231000,located_in,231003
231000,located_in,231004
231000,located_in,231005
231000,located_in,231025
231000,located_in,231081
231000,located_in,231083
231000,located_in,231084
231000,located_in,231085
231000,located_in,231086
360000,located_in,360700
360000,located_in,361100
360000,located_in,360600
360000,located_in,360200
360000,located_in,360900
360000,located_in,360300
360000,located_in,361000
360000,located_in,360500
360000,located_in,360400
360000,located_in,360800
360000,located_in,360100
360700,located_in,360702
360700,located_in,360703
360700,located_in,360704
360700,located_in,360722
360700,located_in,360723
360700,located_in,360724
360700,located_in,360725
360700,located_in,360726
360700,located_in,360727
360700,located_in,360728
360700,located_in,360729
360700,located_in,360730
360700,located_in,360731
360700,located_in,360732
360700,located_in,360733
